TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial17,2,2,1.0,1.0,17.923707387417718,1.4824062965906772,1.406900677335437,1.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,2,3,2.0,0.0,2.515078055044558,-0.3095299332369559,0.3110497425440954,0.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,2,4,2.0,0.0,5.549306551499384,-0.5112530096490572,0.5268419497863497,0.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,2,5,2.0,0.0,21.170492447072032,0.4961132919032547,1.6378097586002769,0.0,0.0,2.0,7.0,,,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,2,6,2.0,0.0,-35.508394810189635,-2.58040253893443,-2.393153037896376,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,2,7,2.0,0.0,-24.698656518997307,-1.732498354999502,-1.6243720155399617,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,2,8,2.0,0.0,-3.910228179432369,0.6949052494018784,-0.1459135402690508,0.0,0.0,2.0,8.0,10.0,10.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial17,3,3,2.0,0.0,6.014343245776986,1.6322552031239317,0.5599150340395808,0.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,3,4,2.0,0.0,11.360296327848758,0.8422077798015921,0.9401154760108026,0.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,3,5,2.0,0.0,20.66257508097422,0.3037503122380969,1.601687030976111,0.0,0.0,2.0,7.0,,,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,3,6,2.0,0.0,-18.24162427384284,1.404843324630278,-1.1651524010500491,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,3,7,2.0,0.0,-13.14764622640947,0.0581157267562254,-0.8028722472041601,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,3,8,2.0,0.0,-10.447299425331828,0.3233624606333644,-0.6108254724787415,0.0,0.0,2.0,8.0,10.0,10.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,4,2,1.0,1.0,4.964277832254544,-0.4322207308013313,0.4852351166907353,1.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,4,3,1.0,1.0,-9.481713376692271,-2.485949483934069,-0.5421536684396885,1.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial17,4,5,2.0,0.0,17.138750354242394,-0.2952197776084146,1.3510750824676985,0.0,0.0,2.0,7.0,,,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,4,6,2.0,0.0,-17.8944891081881,-0.8003985949756227,-1.140464391002169,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,4,7,2.0,0.0,-2.55811233717578,-0.3156891937942591,-0.049752007810741,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,4,8,2.0,0.0,-20.99762469048848,-1.4257717008981106,-1.361157221966934,0.0,0.0,2.0,8.0,10.0,10.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,5,2,1.0,1.0,3.2325905910695902,0.049011255244905,0.3620787319737761,1.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,5,3,1.0,1.0,4.060038805541981,1.6560075070528986,0.4209262699190179,1.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,5,4,2.0,0.0,6.681623689163287,-1.0012338121739333,0.6073715521944139,0.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,5,5,2.0,0.0,17.55386890282146,0.0241669743916513,1.380598023132761,0.0,0.0,2.0,7.0,,,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial17,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial17,5,7,2.0,0.0,11.725532925715676,1.1689425315472175,0.9660908472497982,0.0,0.0,2.0,8.0,9.0,11.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,5,8,2.0,0.0,-15.257803602272682,0.99243884035088,-0.9529451630369922,0.0,0.0,2.0,8.0,10.0,10.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,6,2,1.0,1.0,1.0501935228848824,-0.3147887842450897,0.2068681797781022,1.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial17,6,3,1.0,1.0,-1.7209399366062847,-0.7999886117843752,0.009787107444509,1.0,0.0,1.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
