TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial41,2,1,2.0,0.0,-1.389012268138188,-0.8103538927876283,-0.4935661113919768,1.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,2,2,2.0,0.0,4.759901880360463,0.1722841084359716,0.1739208287440181,1.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,2,3,1.0,1.0,9.013952363503464,0.3912442162836853,0.63571344311488,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,2,4,1.0,1.0,9.320606425820392,0.3212101185512235,0.6690018541729813,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,3,1,2.0,0.0,6.859516142833939,1.4442373664107135,0.401841574696619,1.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,3,2,2.0,0.0,-6.2499463170669,-2.1113846479795217,-1.021238138706673,0.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,3,3,1.0,1.0,5.502873287137491,1.269333651720166,0.2545730705775166,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,3,4,1.0,1.0,1.7778902632325098,-0.4258879530951759,-0.1497873515454605,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,4,1,2.0,0.0,8.551398452914743,-0.3180427077910827,0.5855015378954534,0.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,4,2,2.0,0.0,14.472042043023349,1.5016804244754165,1.2282088807134228,0.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,4,3,1.0,1.0,3.4513666716140348,-1.3015034725387291,0.0318745842441449,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,4,4,1.0,1.0,8.733501380493852,0.7751162855599546,0.605269471384859,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,5,1,2.0,0.0,-2.5398164599388053,0.046536241649867,-0.6184900817271661,0.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,5,2,2.0,0.0,-5.804427600562326,-0.703145417874272,-0.97287546561169,1.0,0.0,1.0,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,5,3,1.0,1.0,-1.7241460107597162,-0.6917556957687466,-0.5299460950763135,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,5,4,1.0,1.0,10.213170730934063,1.489399776060083,0.765892947869647,1.0,0.0,1.0,4.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,6,1,2.0,0.0,15.179918836543903,1.381108058624198,1.3050514749486477,0.0,0.0,2.0,5.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,6,2,2.0,0.0,6.788031597616474,0.0621085905635692,0.3940816679550573,0.0,0.0,2.0,5.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,6,3,1.0,1.0,-1.7973588359016055,-0.314057474589239,-0.5378936128741679,1.0,0.0,2.0,5.0,8.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,6,4,1.0,1.0,-7.254889162019536,-1.0208949329919526,-1.1303283306314986,1.0,0.0,2.0,5.0,8.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,7,1,2.0,0.0,-3.928692434348328,-0.6071990185668638,-0.7692576078298626,1.0,0.0,2.0,5.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial41,7,2,2.0,0.0,-1.119189769717115,0.5644984257350267,-0.4642759002260093,1.0,0.0,2.0,5.0,7.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
