TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial74,18,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,18,2,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,18,3,1.0,1.0,-7.659080523511756,-1.292236175454561,-1.292236175454561,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,4,1.0,1.0,-5.308216261101856,-0.9340945943002272,-0.9340945943002272,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,5,1.0,1.0,2.56961191955514,0.2660503420945406,0.2660503420945407,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,6,1.0,1.0,-3.952410959276367,-0.7275449171038736,-0.7275449171038737,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,7,1.0,1.0,-8.472744946421,-1.416193592992152,-1.4161935929921523,1.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,8,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,18,9,0.0,0.0,-1.7721463358205858,-0.3953932773580472,-0.3953932773580473,0.0,0.0,1.0,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial74,18,10,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,18,11,0.0,0.0,-1.4398725676067554,-0.3447731481455591,-0.3447731481455592,0.0,0.0,1.0,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,18,12,0.0,0.0,-0.5862402119885405,-0.2147268300939132,-0.2147268300939132,0.0,0.0,1.0,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,1,1.0,1.0,11.853408325525889,1.6803870084492678,1.6803870084492678,1.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,2,1.0,1.0,-0.5508872698824491,-0.2093409986842538,-0.2093409986842538,1.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,3,1.0,1.0,10.641911353321596,1.495821932478378,1.495821932478378,1.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,4,1.0,1.0,12.845627963977902,1.8315463568853645,1.8315463568853645,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,5,1.0,1.0,-0.753693030538307,-0.2402373702655032,-0.2402373702655033,1.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,6,1.0,1.0,7.706692225853955,1.0486570169387284,1.0486570169387284,0.0,0.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,7,0.0,0.0,6.021717639256022,0.7919601619572163,0.7919601619572164,0.0,0.0,2.0,4.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial74,19,8,0.0,0.0,-10.358577723633328,-1.7034901176886206,-1.7034901176886206,0.0,0.0,2.0,4.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial74,19,9,0.0,0.0,-0.24011890558264,-0.1619971025934665,-0.1619971025934665,0.0,0.0,2.0,4.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial74,19,10,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,19,11,0.0,0.0,12.58112492958933,1.791250736048909,1.7912507360489094,0.0,0.0,2.0,4.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,19,12,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,20,1,2.0,0.0,-13.358725819330584,-2.16054661383388,-2.16054661383388,1.0,0.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,20,2,,,,,,,,,,,,,,,,,,,,,,,,,
Trial74,20,3,2.0,0.0,0.6767568826497101,-0.0223159862609386,-0.0223159862609386,0.0,0.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,20,4,2.0,0.0,2.0377254493595154,0.1850202866904979,0.1850202866904979,0.0,0.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial74,20,5,2.0,0.0,-3.170975321149594,-0.6084973823380104,-0.6084973823380105,1.0,0.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
