TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial86,8,1,0.0,0.0,-3.830459015582816,0.310747784303806,0.0752141234898121,0.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,2,0.0,0.0,-5.782968413841326,0.1371195906069079,-0.0862479322496416,0.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,3,0.0,0.0,-6.496129145162824,0.0737015302727161,-0.1452224999800326,0.0,0.0,1.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial86,8,5,0.0,0.0,-6.320395989283725,0.089329449934801,-0.1306903104627227,0.0,0.0,1.0,4.0,7.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,6,0.0,0.0,-1.0464668145060003,0.5583181874979308,0.305435347699743,0.0,0.0,1.0,4.0,7.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial86,8,8,0.0,0.0,3.2253576458809308,0.9381946144087708,0.6586923203664817,0.0,0.0,2.0,9.0,,,9.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,9,1.0,1.0,4.073573613907072,1.0136236543047603,0.7288352318580653,0.0,0.0,2.0,9.0,,,9.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial86,8,10,1.0,1.0,-29.15648139880133,-1.9413846301665143,-2.019112101697698,1.0,0.0,2.0,9.0,,,9.0,9.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
