TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial24,1,1,0.0,0.0,5.527220556541692,1.3353194864579403,0.3915069519597144,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,2,0.0,0.0,14.447735196940297,1.1541445624225188,1.032580495167737,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,3,0.0,0.0,5.029907593067002,0.0887590713654829,0.3557675135494934,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,4,0.0,0.0,-2.9256648085055303,-0.8583100710832646,-0.215960373609287,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,5,0.0,0.0,-0.0822167947561516,0.6991586075236628,-0.0116157403022701,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,6,0.0,0.0,-9.16407454188881,-1.4412056492284115,-0.6642842195959051,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,1,7,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,2,1,2.0,0.0,-9.0005169940776,-1.4856175201427937,-0.652530142513973,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,2,3,0.0,0.0,4.419096252470387,0.4022332568956694,0.3118715046158185,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,2,4,0.0,0.0,3.9495639592614618,0.0686899829433366,0.2781285264366376,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,2,5,0.0,0.0,-2.337518731888397,-0.5483827321537005,-0.1736932057988887,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,2,6,0.0,0.0,2.70777104499372,0.9440847338690403,0.1888869730541675,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,3,1,2.0,0.0,-4.36922608741288,0.3449148982379489,-0.3197020276744035,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,3,3,0.0,0.0,-0.4143299865070344,-0.0362936546497808,-0.0354830830694302,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,3,5,0.0,0.0,-0.3790564806423624,-0.4447172020050778,-0.0329481495709047,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,3,6,0.0,0.0,3.419933923921552,0.5364420199562008,0.2400666189086684,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial24,3,7,,,,,,,,,,,,,,,,,,,,,,,,,
Trial24,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
