TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial18,7,69,2.0,0.0,-13.353305550077948,-0.6940717947885238,-0.6940717947885238,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,70,2.0,0.0,-7.824686429891137,-0.3216059308386846,-0.3216059308386846,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,71,2.0,0.0,-10.358688273492316,-0.4923229155702185,-0.4923229155702185,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,72,0.0,0.0,-8.741132910119314,-0.3833473933271411,-0.3833473933271411,0.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,73,0.0,0.0,-3.818760859817621,-0.0517247008353113,-0.0517247008353114,0.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,74,0.0,0.0,-1.559607372275699,0.100475611257116,0.100475611257116,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,75,0.0,0.0,-5.737987847814005,-0.1810239928754847,-0.1810239928754847,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,7,76,0.0,0.0,-16.785067553587517,-0.9252713351656572,-0.9252713351656572,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,8,69,2.0,0.0,-2.7050735862648456,0.0233049735727456,0.0233049735727456,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,8,70,2.0,0.0,-15.501435486082205,-0.8387923941094084,-0.8387923941094084,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,8,71,,,,,,,,,,,,,,,,,,,,,,,,,
Trial18,8,72,1.0,1.0,1.9475370626664388,0.3367537041334895,0.3367537041334895,1.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial18,8,73,,,,,,,,,,,,,,,,,,,,,,,,,
Trial18,8,74,0.0,0.0,-11.417789774088291,-0.5636751188698956,-0.5636751188698957,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,8,75,0.0,0.0,-8.278500566570987,-0.3521796185564594,-0.3521796185564595,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,8,76,0.0,0.0,-2.0009140626314,0.0707445565186904,0.0707445565186904,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,69,2.0,0.0,-7.3995425229144836,-0.2929637709841786,-0.2929637709841786,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,70,2.0,0.0,-9.4828900041611,-0.4333199435909872,-0.4333199435909872,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,71,2.0,0.0,-14.322491779926276,-0.7593663608603038,-0.759366360860304,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,72,1.0,1.0,20.288520368386223,1.5723950178407111,1.5723950178407111,1.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial18,9,73,0.0,0.0,-18.154944011494408,-1.0175606043858516,-1.0175606043858516,0.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,74,0.0,0.0,-11.817679942792266,-0.5906159216152908,-0.5906159216152908,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,75,0.0,0.0,-12.477498757556225,-0.6350682485976407,-0.6350682485976407,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,9,76,0.0,0.0,-11.122657269985062,-0.5437918929267103,-0.5437918929267103,0.0,0.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,69,2.0,0.0,-11.131470666662835,-0.5443856559146386,-0.5443856559146387,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,70,2.0,0.0,-11.444788892203633,-0.5654940631010138,-0.5654940631010138,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,71,2.0,0.0,-5.971107349695072,-0.1967293715214193,-0.1967293715214193,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,72,1.0,1.0,-1.7312429499328903,0.0889124356563241,0.0889124356563241,1.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial18,10,73,1.0,1.0,22.33195470080772,1.7100622214415298,1.7100622214415298,1.0,0.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial18,10,74,0.0,0.0,9.857858237890497,0.8696760390963977,0.8696760390963977,0.0,0.0,2.0,6.0,8.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,75,0.0,0.0,13.457852367073343,1.1122094627942722,1.1122094627942722,0.0,0.0,2.0,6.0,8.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial18,10,76,0.0,0.0,14.678006676928064,1.19441187523986,1.19441187523986,0.0,0.0,2.0,6.0,8.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
